date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl,equity_ret
18174,-1623621289.134981,785532595.1814181,5716901.589560255,-4574954.480394372,38525599.78901818,-572260719.6363621,0.0,-1370681866.691741,-3135682948.4779916,1765001081.7862506,0.17076795547422133
18175,1781895130.673798,1036424820.2042524,16510549.356411058,-3550140.907923947,384403351.5262502,-975162877.0032182,0.0,2240520833.8495693,3285656076.190152,-1045135242.3405828,0.22530974352266356
18176,1781895130.673798,-398607312.42347914,2072004.0205321233,-14652986.355416115,-4682530.146782239,457888057.9004301,0.0,1823912363.669083,3285656076.190152,-1461743712.521069,-0.08665376357032155
18177,-1753895873.4684708,1109651335.4239216,1130327.3510651854,-36610668.31297307,-62023993.05183616,-1069375977.5692755,0.0,-1811124849.6275687,-3588945469.1853204,1777820619.5577517,0.24122855117911338
18178,-1765990488.9456763,550530510.1968417,8834260.359046709,-15625029.411847537,-136560617.90243185,-156916285.94314775,0.0,-1515727651.647215,-3588945469.1853204,2073217817.5381055,0.11968054569496558
18179,-500879058.3100932,900551598.937104,9670310.799628371,-1066454.490749754,-72554748.75375,-755922032.5379382,0.0,-420200384.35579884,-924768815.9214973,504568431.5656985,0.1957720867254574
18180,936634952.1856865,610705978.9889376,10217145.867902428,-24956490.649356727,-10530434.399045264,-934507934.5960978,0.0,587563217.3980266,1690600392.2919798,-1103037174.8939533,0.13276216934542123
18181,1781895130.673798,295561807.66222817,4256793.783206213,-14394761.289104525,27300150.057780012,-375157907.565054,0.0,1719461213.322854,3285656076.190152,-1566194862.8672981,0.06425256688309308
18182,-1770215362.8225992,586088646.511816,7458768.022492375,-12981334.316074995,-220089220.14994293,-359697606.34012896,0.0,-1769436109.0944376,-3588945469.1853204,1819509360.0908828,0.12741057532865566
18183,1241568800.8742373,747369208.3633882,19032313.245714925,6238184.189083505,-106001467.67495656,-595345386.1541407,0.0,1312861652.8433268,2117219763.433238,-804358110.5899112,0.16247156703551918
18184,1781895130.673798,684116689.2912129,20422194.56955682,24582183.75416939,318176273.29979545,-643601552.7650554,0.0,2185590918.8234777,3285656076.190152,-1100065157.3666744,0.14872101941113325
18185,1781895130.673798,528180840.30239296,11719288.20212328,11464998.424889177,235160386.96090817,-602613178.6028455,0.0,1965807465.961266,3285656076.190152,-1319848610.2288861,0.11482192180486804
18186,559195198.4014287,1827181973.987082,22637414.393134374,-6414374.566768909,18847119.65136113,-1034816533.9694365,0.0,1386630797.8968005,1008687619.4140453,377943178.4827552,0.3972134726058874
18187,1781895130.673798,528280007.23348653,23241330.848480493,-11987677.595744811,73880513.1693963,-645694880.7474953,0.0,1749614423.581922,3285656076.190152,-1536041652.60823,0.11484347983336664
18188,457467674.13051254,9941364.806387775,14196643.864853928,-2411470.019286352,268803554.1111826,89873223.5310177,0.0,837870990.4246682,835284126.5594149,2586863.8652533293,0.002161166262258212
18189,-1514874136.6319892,977444096.3196335,17395209.358612433,-3084561.606332595,-301357497.7447288,-575424632.9698377,0.0,-1399901523.2746425,-2940385925.699408,1540484402.4247656,0.2124878470260073
18190,-241072325.57200938,714877367.990516,26478047.89391046,-23341908.823036328,132115868.50138907,-624931150.7584683,0.0,-15874100.767698526,-448216480.0233383,432342379.2556398,0.15540812347619912
