date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,asset_pnl,liability_pnl,surplus_pnl
2021-05-14,-3738.588438924266,2740347641.723801,37244990.71561899,-2634848.3440227644,-1.4647499935473638,-1065273524.8280962,1709680519.2141125,-5383.9519329071045,1709685903.1660454
2021-05-21,-3920.839923390801,2442223001.7017717,32357330.9766637,-5335215.352457169,2.3715000064526386,-967145615.1358659,1502095583.721689,-6388.3116064071655,1502101972.0332954
2021-05-28,-3439.137371252741,2387022609.112545,28383695.47141687,-6523401.1005659755,7.068000006452641,-890303927.593721,1518575543.820304,-5728.144227981567,1518581271.964532
2021-06-04,-2796.8343438602565,2020565836.654839,22345224.681896545,-8381701.653653141,-3.5339999935473654,-741313592.9696996,1293212966.345039,-4645.32190990448,1293217611.6669488
2021-06-11,-4039.3013235068493,2410319809.358247,26111843.70404572,-5782340.997805925,-0.9067499935473692,-901325503.820815,1529319768.0355978,-6415.260274887085,1529326183.2958727
2021-06-18,-2708.2208427710966,2096087421.1224232,24315620.80565666,-283192.68118457706,-1.6739999935473628,-775929958.3063592,1344187181.0456934,-4507.985456466675,1344191689.0311499
2021-06-25,-3677.2195598956314,2497473278.7359366,26491360.361638587,327564.91878817626,-11.252999993547364,-925196667.8873904,1599091847.6564133,-6069.531921386719,1599097917.1883347
2021-07-02,1794.837002240542,2287036561.8595037,26232097.68488394,944372.942913627,66122968.61250004,-846787190.0826447,1533550605.854159,1849.9095439910889,1533548755.9446151
2021-07-09,-2528.6345446438427,2222659477.476391,25898991.93440618,112843.45567862112,4.6500000043503675,-807707558.8599728,1440961230.0219579,-4168.452713012695,1440965398.474671
2021-07-16,-2215.1794382131097,2074763487.4378114,24223843.09606623,561561.2756218296,-5.579999995649636,-732676815.2333117,1366869855.8167498,-3632.3993854522705,1366873488.2161353
2021-07-23,-1973.6433114498107,2239522641.661701,21579534.99392561,5760891.510642034,-6.2774999956496345,-783668909.6605833,1483192178.584874,-2977.911672592163,1483195156.4965465
2021-07-30,-1839.6162847091762,2215239946.4466376,21092357.448193423,8398573.270844102,-7.021499995649632,-762618764.5879806,1482110265.9399095,-2750.2028007507324,1482113016.1427102
2021-08-06,-3113.8607046944276,2018846043.6056504,20055986.457769252,13931981.544440195,0.8370000043503665,-724460413.3329368,1328370485.2512183,-4828.336252212524,1328375313.5874705
2021-08-13,-1091.774568407296,2036210932.402143,19849377.577842873,9489582.209440868,0.651000004350367,-714753795.8224955,1350795005.2433631,-1687.4695873260498,1350796692.7129505
2021-08-20,-1359.4816644382834,1858960024.7784724,19495201.665392317,8657725.82704012,-3.9059999956496334,-661421506.5360725,1225690082.3471682,-1909.1674480438232,1225691991.5146163
2021-08-27,-1129.9715608155377,1902243942.662723,19016212.659355335,7948188.9247959135,-1.4879999956496364,-633598577.0454977,1295608635.741816,-1895.0431575775146,1295610530.7849736
2021-09-03,-1514.6922783370674,2136121014.2989578,19306606.429619085,5061836.302670892,5.440500004350369,-732662527.0878482,1427825420.6916213,-2546.0438051223755,1427827966.7354264
