date,fi_bonds,equity,high_yield,rates_credit_idx,fx_hedge_residual,futures_overlay,irs_hedge,asset_pnl,liability_pnl,surplus_pnl,equity_ret
21711,-1770215362.8225992,-537610383.3575059,-9117682.868047148,2195862.3098750133,-72554748.75375,986133526.1883066,0.0,-1401168789.3037207,-3588945469.1853204,2187776679.8815994,-0.11687182246902303
21712,1781895130.673798,856788757.1457675,18904773.474926256,1235774.759189946,304921227.18474996,-534896327.1228217,0.0,2428849336.1156106,3285656076.190152,-856806740.0745416,0.18625842546647117
21713,1781895130.673798,713957792.8259264,24957547.458978802,-7957852.030604344,269156697.5170693,-947049695.1216111,0.0,1834959621.323557,3285656076.190152,-1450696454.8665953,0.15520821583172315
21714,-173841916.89877152,1123953504.10908,9907915.301352717,-22404571.658651106,-66364854.42978121,-573807014.9642075,0.0,297443061.45902145,-298879261.95079803,596322323.4098195,0.24433771828458262
21715,-164848999.2926106,959881123.2715087,30734582.098888163,-12793030.43992102,122907364.5667642,-777693304.6754824,0.0,158187735.52914703,-249540182.4406767,407727917.9698237,0.2086698094068497
21716,1781895130.673798,1242913935.5945082,28503664.880212277,-8001282.605965768,-49650119.43195299,-985590549.3503886,0.0,2010070779.7602115,3285656076.190152,-1275585296.4299407,0.27019868165098004
21717,1781895130.673798,1075978159.4970868,40726761.379407816,2412054.4952278826,291685029.1142127,-1194866758.4200492,0.0,1997830376.739684,3285656076.190152,-1287825699.450468,0.23390829554284495
21718,-1704978923.1260204,1156694382.6296837,17417887.527955074,-20091317.18681395,-298756809.9750601,-791174166.3322083,0.0,-1640888946.4624639,-3412774901.699364,1771885955.2369003,0.25145530057167037
21719,-1628472488.5267432,253492379.337885,4141382.937051161,2343918.9407007904,-187649141.4745738,-171714773.42950606,0.0,-1727858722.2151864,-3207529461.9467134,1479670739.731527,0.055107038986496736
21720,-1309785056.6828413,889434249.6267394,37794099.64342804,-8263065.191121885,-163514562.12761077,-814320852.8398395,0.0,-1368655187.5712461,-2414465165.049547,1045809977.478301,0.19335527165798683
