date,book,method,var
2019-02-07,fwd_recv_5y5y,Delta-Normal,76920225.00224005
2019-02-07,fwd_recv_5y5y,Monte Carlo,76264303.26206271
2019-02-07,fwd_recv_5y5y,PCA + GARCH,63758680.461051226
2019-02-07,payer_5y,Delta-Normal,132690577.31966087
2019-02-07,payer_5y,Monte Carlo,133395409.1712005
2019-02-07,payer_5y,PCA + GARCH,112062468.10043877
2019-02-07,payer_10y,Delta-Normal,249123865.05555713
2019-02-07,payer_10y,Monte Carlo,250044922.0149757
2019-02-07,payer_10y,PCA + GARCH,211191316.59689495
2019-02-14,unhedged,Delta-Normal,62922271.1251436
2019-02-14,unhedged,Monte Carlo,62589210.88980696
2019-02-14,unhedged,PCA + GARCH,54232208.24964163
2019-02-14,irs_recv_5y,Delta-Normal,15551514.477533141
2019-02-14,irs_recv_5y,Monte Carlo,15399139.506831728
2019-02-14,irs_recv_5y,PCA + GARCH,9810399.546961892
2019-02-14,irs_recv_10y,Delta-Normal,127268517.45884253
2019-02-14,irs_recv_10y,Monte Carlo,126987713.03865722
2019-02-14,irs_recv_10y,PCA + GARCH,107588381.0053183
2019-02-14,fwd_recv_2y5y,Delta-Normal,46882301.89620593
2019-02-14,fwd_recv_2y5y,Monte Carlo,46292219.472101696
2019-02-14,fwd_recv_2y5y,PCA + GARCH,37221090.78698684
2019-02-14,fwd_recv_5y5y,Delta-Normal,76868076.52754724
2019-02-14,fwd_recv_5y5y,Monte Carlo,75387585.7609532
2019-02-14,fwd_recv_5y5y,PCA + GARCH,62563102.76998936
2019-02-14,payer_5y,Delta-Normal,132574474.16365878
2019-02-14,payer_5y,Monte Carlo,132245231.8502471
2019-02-14,payer_5y,PCA + GARCH,114192145.33304784
2019-02-14,payer_10y,Delta-Normal,248997786.26851946
2019-02-14,payer_10y,Monte Carlo,248115896.527154
2019-02-14,payer_10y,PCA + GARCH,215460783.63269836
2019-02-21,unhedged,Delta-Normal,62749492.876245916
2019-02-21,unhedged,Monte Carlo,62060585.24686297
2019-02-21,unhedged,PCA + GARCH,48972517.91217981
2019-02-21,irs_recv_5y,Delta-Normal,15516904.16270346
2019-02-21,irs_recv_5y,Monte Carlo,15150736.021870947
2019-02-21,irs_recv_5y,PCA + GARCH,9702218.373587595
2019-02-21,irs_recv_10y,Delta-Normal,126867862.6245376
2019-02-21,irs_recv_10y,Monte Carlo,125471082.28679623
2019-02-21,irs_recv_10y,PCA + GARCH,96268508.43286066
2019-02-21,fwd_recv_2y5y,Delta-Normal,46745675.744493246
2019-02-21,fwd_recv_2y5y,Monte Carlo,45322426.12242376
2019-02-21,fwd_recv_2y5y,PCA + GARCH,33507043.80201901
2019-02-21,fwd_recv_5y5y,Delta-Normal,76658731.7071077
2019-02-21,fwd_recv_5y5y,Monte Carlo,75487267.13196467
2019-02-21,fwd_recv_5y5y,PCA + GARCH,58914097.08044653
2019-02-21,payer_5y,Delta-Normal,132196601.21595
2019-02-21,payer_5y,Monte Carlo,130516736.32032327
2019-02-21,payer_5y,PCA + GARCH,102758745.71187928
2019-02-21,payer_10y,Delta-Normal,248251736.11371344
2019-02-21,payer_10y,Monte Carlo,247603759.59038714
2019-02-21,payer_10y,PCA + GARCH,192467433.90519786
2019-02-28,unhedged,Delta-Normal,62723982.290399544
2019-02-28,unhedged,Monte Carlo,63047423.66196627
2019-02-28,unhedged,PCA + GARCH,46684807.14952938
2019-02-28,irs_recv_5y,Delta-Normal,15470875.23530303
2019-02-28,irs_recv_5y,Monte Carlo,15372018.305255393
2019-02-28,irs_recv_5y,PCA + GARCH,9872600.294461606
2019-02-28,irs_recv_10y,Delta-Normal,125999569.02836731
2019-02-28,irs_recv_10y,Monte Carlo,125788256.66220859
2019-02-28,irs_recv_10y,PCA + GARCH,92862498.04549962
2019-02-28,fwd_recv_2y5y,Delta-Normal,46511362.28406234
2019-02-28,fwd_recv_2y5y,Monte Carlo,46499452.00740249
2019-02-28,fwd_recv_2y5y,PCA + GARCH,32966544.942121375
2019-02-28,fwd_recv_5y5y,Delta-Normal,75934198.7716977
2019-02-28,fwd_recv_5y5y,Monte Carlo,75297829.05567296
2019-02-28,fwd_recv_5y5y,PCA + GARCH,57063559.12769319
2019-02-28,payer_5y,Delta-Normal,132100512.65098132
2019-02-28,payer_5y,Monte Carlo,132303409.11391626
2019-02-28,payer_5y,PCA + GARCH,98820280.52627648
2019-02-28,payer_10y,Delta-Normal,247327707.5976347
2019-02-28,payer_10y,Monte Carlo,250825650.0088798
2019-02-28,payer_10y,PCA + GARCH,183957448.35987395
2019-03-07,unhedged,Delta-Normal,62695371.44023809
2019-03-07,unhedged,Monte Carlo,62777070.165707655
2019-03-07,unhedged,PCA + GARCH,47050493.161745526
2019-03-07,irs_recv_5y,Delta-Normal,15589527.943720683
2019-03-07,irs_recv_5y,Monte Carlo,15409385.34673811
2019-03-07,irs_recv_5y,PCA + GARCH,9380616.624500645
2019-03-07,irs_recv_10y,Delta-Normal,127886125.82658625
2019-03-07,irs_recv_10y,Monte Carlo,125424669.8345174
2019-03-07,irs_recv_10y,PCA + GARCH,94653794.13795668
2019-03-07,fwd_recv_2y5y,Delta-Normal,47160053.618231155
2019-03-07,fwd_recv_2y5y,Monte Carlo,46379268.12192235
