date,unhedged,irs_recv_5y,irs_recv_10y,fwd_recv_2y5y,fwd_recv_5y5y,payer_5y,payer_10y
2021-03-03,27695500.000000004,-1673365.8707804047,-58101535.669323444,-18532930.865497347,-30295800.381989714,57064365.87078041,113492535.66932344
2021-03-17,5358499.999999998,4700471.5808959585,-36331498.90211415,-11680314.975087048,-36491432.39602637,6016528.419104038,47048498.90211415
2021-03-31,6324500.000000011,-1368187.292726446,-21772637.32798313,-7608058.724876393,-14581628.804151047,14017187.292726468,34421637.327983156
2021-04-19,18514999.99999999,-4121045.0748880617,-30778033.007882368,-13005683.332269918,-9102642.788672578,41151045.074888036,67808033.00788234
2021-05-03,14871500.000000006,1249518.135850137,-39618405.03141426,-10745953.299865717,-26957714.54647731,28493481.864149876,69361405.03141427
2021-05-17,19985000.000000007,-7483847.487007789,-21726193.379127495,-13928192.602868311,4903677.336981423,47453847.487007804,61696193.37912751
2021-05-31,-21199500.00000001,4416800.909787584,47536470.85954927,21487412.790734757,23249592.70795988,-46815800.90978761,-89935470.8595493
2021-06-14,-17310999.999999996,1161220.8544275202,31876550.643870357,10576021.275535587,14319930.543916468,-35783220.85442752,-66498550.64387035
2021-06-28,21525000.000000004,-8162138.045973774,-11422981.711533781,-4674910.114772912,17720730.724419598,51212138.04597378,54472981.711533785
2021-07-12,-35462000.000000015,4130853.639103994,82678886.62280439,32441621.919212684,45343052.69049035,-75054853.63910402,-153602886.6228044
2021-07-26,-33512500.0,-410083.1139476299,76964102.82389069,25250975.04043162,45911019.7582593,-66614916.88605237,-143989102.8238907
2021-08-09,-14941499.999999996,-1274439.936237391,41773280.038398504,12469240.736006979,29156688.10221112,-28608560.0637626,-71656280.0383985
2021-08-23,-10289999.999999998,-1991135.4144983273,22516027.57040286,10155160.29788375,14914161.204677941,-18588864.58550167,-43096027.57040286
2021-09-06,45601500.0,-2569681.353833258,-110623274.08969927,-38639083.01157534,-65413277.14917791,93772681.35383326,201826274.08969927
2021-09-20,34187999.99999999,-3190136.1318447664,-63995980.79103995,-19649248.042040713,-28431031.66740585,71566136.13184476,132371980.79103994
2021-10-04,37698500.0,-436227.4264137745,-92553685.24823284,-41344745.78140533,-56987547.789890885,75833227.42641377,167950685.24823284
2021-10-18,79254000.0,-19937144.477722228,-57358611.6702019,-23720618.3660599,39443870.06812382,178445144.47772223,215866611.6702019
2021-11-01,45164000.00000001,-20982043.521308444,1698333.9370644167,7149124.673793204,67205920.8419677,111310043.52130845,88629666.06293559
2021-11-15,-55450500.0,10188402.774915248,59757448.87045443,24020543.90077901,-3651773.5486832857,-121089402.77491525,-170658448.87045443
2021-11-29,-31188499.999999993,8458352.220313676,17984168.43641687,4522298.959980138,-20764505.458930843,-70835352.22031367,-80361168.43641686
2021-12-13,-22207500.000000004,-10499896.226662938,94332978.86864209,29014744.38619482,84789203.59299636,-33915103.773337066,-138747978.8686421
2021-12-27,81400899.99999999,-8211106.058230773,-152716168.11710167,-52683045.0506949,-67388114.05289246,171012906.05823076,315517968.11710167
2022-01-10,66222100.0,-4350133.794843137,-129649420.27146292,-43636278.593621016,-62754484.57240307,136794333.79484314,262093620.27146292
2022-01-24,-4189500.000000002,1968589.6376672667,33574163.95095909,13530834.399278281,28130875.911189675,-10347589.63766727,-41953163.95095909
2022-02-07,269300500.0,-50262452.86674726,-215876835.76178855,-25864430.769467592,95844451.88591027,588863452.8667473,754477835.7617886
2022-02-21,24363500.0,11919063.787088245,-114113966.74228755,-32843165.552529387,-104258280.72927082,36807936.212911755,162840966.74228755
2022-03-07,-68729500.0,21779553.812649608,23020422.278871566,6581439.522227794,-66085238.41900408,-159238553.8126496,-160479422.27887157
2022-03-21,239634500.0,-20627272.50171745,-254986463.32566404,-34443490.15182763,-2894959.6100378335,499896272.50171745,734255463.325664
2022-04-04,104138999.99999997,-18972132.811134905,16538650.517897487,42391616.30470213,138774286.9252481,227250132.81113485,191739349.48210245
2022-04-19,224517999.99999997,6668302.639151365,-381530396.1111791,-100819338.6579484,-174570324.49534622,442367697.36084855,830566396.1111791
2022-05-03,128523500.0,17915936.970439076,-20196530.790806413,80483817.18631613,88802365.50112173,239131063.02956092,277243530.7908064
2022-05-17,-29288000.000000004,16885502.925156828,-42096702.94427812,-18023928.732479814,-88805448.09106445,-75461502.92515683,-16479297.055721883
2022-05-31,74091500.0,14633727.341498613,-26608550.200847626,38676189.80745196,31676019.479934216,133549272.65850139,174791550.20084763
2022-06-14,581591499.9999999,27563197.733838916,-318224154.8836323,113884577.01478803,222131777.20871258,1135619802.266161,1481407154.8836322
2022-06-28,-189741999.99999997,-9377857.592660874,46893753.86922863,-80981557.47397873,-130507173.17931518,-370106142.4073391,-426377753.8692286
2022-07-12,-314506499.99999994,10980843.568591535,195157129.39670664,-26044750.381993473,-122380029.22786313,-639993843.5685914,-824170129.3967066
2022-07-26,-85494500.00000001,24962593.356750473,206267093.29706812,99900824.83569048,101704572.42422418,-195951593.3567505,-377256093.2970681
2022-08-09,78582000.00000001,-5605966.68681179,20512249.17214276,41501640.26518805,104260003.09697293,162769966.6868118,136651750.82785726
2022-08-23,294808500.0,10403408.913191557,-188840176.89478827,43676159.84230405,88139519.13342914,579213591.0868084,778457176.8947883
2022-09-06,257288499.99999997,36207720.63648936,-151788530.85453632,66366241.535081,63269240.43805763,478369279.3635106,666365530.8545363
2022-09-20,217777000.0,29857548.00047064,70480564.19415903,158052314.2551645,257484017.25488532,405696451.99952936,365073435.80584097
2022-10-04,31654000.0,-1031931.5288202763,-121347626.20120263,-75511105.41171825,-92095539.32885766,64339931.528820276,184655626.20120263
2022-10-18,258377000.00000003,29006424.586883813,-143008132.09161422,46877164.07023123,80103836.26407865,487747575.4131162,659762132.0916142
2022-11-01,-92757000.00000012,6955882.311939359,90231929.39511812,28960451.419052243,-6049866.572600484,-192469882.3119396,-275745929.39511836
2022-11-15,-92707999.99999988,6181401.84892714,143473407.49952042,68036471.35727215,49314123.973287344,-191597401.8489269,-328889407.4995202
2022-11-29,-51135000.00000004,2292343.450928651,103742149.31525466,41656169.792816125,53376815.41747197,-104562343.45092872,-206012149.31525472
2022-12-13,-136499.99999999272,-11168588.082078211,39637181.08200479,4070859.0246592835,51345175.689576395,10895588.082078226,-39910181.08200478
2022-12-28,347651500.0000001,51453258.68410027,-197574026.7046672,65686733.39739096,89914234.4236077,643849741.3159,892877026.7046674
2023-01-11,-211417500.00000012,5388951.2284139395,176439052.90788257,44838980.277600646,-33269208.30121243,-428223951.2284142,-599274052.9078828
2023-01-25,-2103499.999999978,-1408647.500445344,13423845.61605265,2973855.214332841,13069380.367779873,-2798352.499554612,-17630845.616052605
2023-02-08,82425000.00000007,14295494.352295235,-45788876.881255075,15920079.837583855,20370216.573312,150554505.6477049,210638876.8812552
2023-02-22,167124999.99999994,12077037.523626506,-53554585.63292366,42423636.151617944,98151687.79874963,322172962.4763734,387804585.63292354
2023-03-08,154657999.99999994,33780141.24234551,60231417.59253782,131523769.09721297,180777806.98134953,275535858.75765437,249084582.40746206
2023-03-22,-236498499.99999985,-50924600.6917406,-24498323.701636165,-170719577.56766567,-208119304.2570909,-422072399.3082591,-448498676.29836357
2023-04-05,-115496500.00000006,6911023.270116508,46391774.41706747,-7123752.790685117,-73464529.60494667,-237904023.27011663,-277384774.4170676
2023-04-24,257088999.99999997,40015219.83169338,-75393242.41534093,90553055.47626838,136993264.7537925,474162780.1683066,589571242.4153409
2023-05-09,-142068499.99999994,-2252058.4494552016,546422.3742557168,-52187741.83908695,-137483741.08487755,-281884941.5505447,-284683422.3742556
2023-05-23,99109500.00000001,10836225.63988854,-11458093.28111504,42085950.8462577,75484876.54271282,187382774.36011147,209677093.28111506
2023-06-06,-68852000.00000006,-6185866.355888903,68747253.34790367,14905485.431891143,8663409.79071933,-131518133.64411122,-206451253.3479038
2023-06-20,84090999.99999999,11497958.194309697,83115787.50161313,94556078.50078093,156645778.5374453,156684041.8056903,85066212.49838684
2023-07-04,68820499.99999996,-813337.7412836999,-9792123.937323138,21895918.787952974,58714978.77143045,138454337.7412836,147433123.93732303
2023-07-18,-78865499.99999988,1053210.4170976877,11847840.44206345,-24512785.164497375,-66783190.75363469,-158784210.41709745,-169578840.4420632
2023-08-01,48142499.99999999,3146064.6345462725,-125122608.29225683,-60669069.44824899,-83735333.43381917,93138935.36545372,221407608.29225683
2023-08-15,78057000.0,5474015.183473587,-58406889.7894187,-3718260.169327259,11776849.653454185,150639984.8165264,214520889.7894187
2023-08-29,-102941999.99999997,-7388398.0608124435,81436710.37175038,10796002.032810003,-10812346.054695576,-198495601.9391875,-287320710.37175035
2023-09-12,52069499.99999998,4859593.008362748,-54576401.91194441,-17340528.53670027,-9450086.564833067,99279406.9916372,158715401.91194436
2023-09-26,75274499.99999993,18077563.446515247,-89015024.02685364,-4392264.844425276,-34588197.04286714,132471436.5534846,239564024.0268535
2023-10-10,-35297500.00000002,-734208.7947635874,-40258164.73105147,-44121839.13665678,-75448980.70910767,-69860791.20523646,-30336835.268948577
2023-10-24,21038500.000000056,1506315.1301508509,-21796692.064883653,-520571.8258070387,-2893065.2051534094,40570684.869849265,63873692.06488377
2023-11-07,-150013499.99999994,-15095310.776405752,96590406.80103117,-17530352.555056512,-34448168.250878274,-284931689.2235941,-396617406.80103105
2023-11-21,-55524000.000000015,-4515183.0014140755,62683994.81680535,13566508.298126683,13874841.148703203,-106532816.99858595,-173731994.81680536
2023-12-05,-238948499.99999997,-35858459.047065705,104008923.35629562,-80262711.6091213,-94205853.46381637,-442038540.95293427,-581905923.3562956
2023-12-19,-136731000.00000006,-8765472.172608197,129827336.02321285,14344270.139050782,6516644.967830956,-264696527.82739192,-403289336.02321297
2024-01-08,34174000.00000003,4819781.706906587,-69365969.41823527,-27559855.45187542,-42196321.55812284,63528218.29309347,137713969.41823533
2024-01-22,76317499.99999997,-4617731.338918716,-42370130.21541336,1561135.3489985168,36747427.79793891,157252731.33891866,195005130.2154133
2024-02-05,6446999.999999958,3067417.527872759,-9552939.918883365,4186172.235690194,-6274102.781382126,9826582.472127158,22446939.918883283
2024-02-19,71088500.00000007,4779829.139891937,4196536.498543099,38508237.69851728,69730856.05649777,137397170.8601082,137980463.50145704
